2.017091900000000000e+07,1.000000000000000000e+00,4.156250000000000000e+03
2.017091900000000000e+07,2.000000000000000000e+00,4.025000000000000000e+03
2.017091900000000000e+07,3.000000000000000000e+00,3.956250000000000000e+03
2.017091900000000000e+07,4.000000000000000000e+00,3.968750000000000000e+03
2.017091900000000000e+07,5.000000000000000000e+00,4.025000000000000000e+03
2.017091900000000000e+07,6.000000000000000000e+00,4.168750000000000000e+03
2.017091900000000000e+07,7.000000000000000000e+00,4.668750000000000000e+03
2.017091900000000000e+07,8.000000000000000000e+00,5.137500000000000000e+03
2.017091900000000000e+07,9.000000000000000000e+00,5.372000000000000000e+03
2.017091900000000000e+07,1.000000000000000000e+01,5.472000000000000000e+03
2.017091900000000000e+07,1.100000000000000000e+01,5.462500000000000000e+03
2.017091900000000000e+07,1.200000000000000000e+01,5.506250000000000000e+03
2.017091900000000000e+07,1.300000000000000000e+01,5.537500000000000000e+03
2.017091900000000000e+07,1.400000000000000000e+01,5.506250000000000000e+03
2.017091900000000000e+07,1.500000000000000000e+01,5.418750000000000000e+03
2.017091900000000000e+07,1.600000000000000000e+01,5.381250000000000000e+03
2.017091900000000000e+07,1.700000000000000000e+01,5.312500000000000000e+03
2.017091900000000000e+07,1.800000000000000000e+01,5.272000000000000000e+03
2.017091900000000000e+07,1.900000000000000000e+01,5.372000000000000000e+03
2.017091900000000000e+07,2.000000000000000000e+01,5.756250000000000000e+03
2.017091900000000000e+07,2.100000000000000000e+01,5.668750000000000000e+03
2.017091900000000000e+07,2.200000000000000000e+01,5.256250000000000000e+03
2.017091900000000000e+07,2.300000000000000000e+01,4.818750000000000000e+03
2.017091900000000000e+07,2.400000000000000000e+01,4.456250000000000000e+03
